"id","employ","wage","ln_wage","sec_agr","sec_min","sec_man","sec_ele","sec_con","sec_who","sec_tra","sec_fin","sec_soc","sec_other"
"00106001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00106007",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00106008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00106511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00106512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00108008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00108511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00108512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00122001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00122002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00122006",1,2e+06,14.5086577385242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00122411",1,291666.666666667,12.5833668766716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00122412",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00122413",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00122421",1,7e+05,13.4588356140255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00122511",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001240012",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001240014",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001240016",1,240000,12.3883942023241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001240017",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00124002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001240024",1,1700000,14.3461388090264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001240025",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00124003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00124004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00124007",1,2e+05,12.2060726455302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00124511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00124512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00124521",1,8e+05,13.5923670066501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00124522",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00125003",1,320000,12.6760762747759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00125008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00129001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00129008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00129511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00129512",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00129521",1,4e+05,12.8992198260901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00129531",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00129534",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002010011",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00201002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00201003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00201004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00201005",1,1400000,14.1519827945855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00201511",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00201512",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00201521",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00202001",1,20000,9.90348755253613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002020011",1,140000,11.8493977015914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00204001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002040012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00204002",1,NA,NA,1,0,0,0,0,0,0,0,0,0
"00204004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00204007",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00204413",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00204511",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002050010",1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00205003",1,1600000,14.28551418721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00206002",1,450000,13.0170028617465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00206006",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00206007",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00206511",1,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
