"id","age","age2","male","married","educ","hhsize","village","disability","employ","wage","ln_wage","age_before","age2_before"
106001,59,3481,1,1,6,3,1,NA,NA,NA,NA,59,3481
106007,39,1521,0,1,6,3,1,NA,NA,NA,NA,39,1521
106008,16,256,0,0,9,3,1,NA,NA,NA,NA,16,256
106511,28,784,0,1,6,2,1,NA,NA,NA,NA,28,784
106512,30,900,1,1,9,2,1,NA,NA,NA,NA,30,900
108008,26,676,1,0,6,2,1,NA,NA,NA,NA,26,676
108511,36,1296,1,1,6,3,1,NA,NA,NA,NA,36,1296
108512,40,1600,0,1,NA,3,1,NA,NA,NA,NA,40,1600
122001,55,3025,1,1,6,2,1,NA,NA,NA,NA,55,3025
122002,54,2916,0,1,6,2,1,NA,NA,NA,NA,54,2916
122006,28,784,1,0,16,2,1,NA,NA,NA,NA,28,784
122411,34,1156,1,1,16,3,1,NA,NA,NA,NA,34,1156
122412,32,1024,0,1,6,3,1,NA,NA,NA,NA,32,1024
122413,15,225,0,0,9,3,1,NA,NA,NA,NA,15,225
122421,24,576,1,0,16,2,1,NA,NA,NA,NA,24,576
122511,23,529,1,0,0,2,1,NA,NA,NA,NA,23,529
1240012,24,576,1,0,16,4,1,NA,NA,NA,NA,24,576
1240014,17,289,0,0,12,4,1,NA,NA,NA,NA,17,289
1240016,17,289,1,0,12,4,1,NA,NA,NA,NA,17,289
1240017,16,256,0,0,9,4,1,NA,NA,NA,NA,16,256
124002,62,3844,0,0,6,4,1,NA,NA,NA,NA,62,3844
1240024,25,625,0,0,16,4,1,NA,NA,NA,NA,25,625
1240025,31,961,0,1,NA,4,1,NA,NA,NA,NA,31,961
124003,40,1600,1,0,6,4,1,NA,NA,NA,NA,40,1600
124004,35,1225,1,1,NA,4,1,NA,NA,NA,NA,35,1225
124007,30,900,0,0,16,4,1,NA,NA,NA,NA,30,900
124511,50,2500,1,1,6,2,1,NA,NA,NA,NA,50,2500
124512,37,1369,0,1,NA,2,1,NA,NA,NA,NA,37,1369
124521,30,900,1,1,9,2,1,NA,NA,NA,NA,30,900
124522,24,576,0,1,9,2,1,NA,NA,NA,NA,24,576
125003,34,1156,1,1,6,3,1,NA,NA,NA,NA,34,1156
125008,33,1089,0,1,9,3,1,NA,NA,NA,NA,33,1089
129001,58,3364,1,1,6,2,1,NA,NA,NA,NA,58,3364
129008,16,256,1,0,9,2,1,NA,NA,NA,NA,16,256
129511,27,729,1,1,6,4,1,NA,NA,NA,NA,27,729
129512,27,729,0,1,6,4,1,NA,NA,NA,NA,27,729
129521,29,841,1,1,6,2,1,NA,NA,NA,NA,29,841
129522,22,484,0,1,NA,2,1,NA,NA,NA,NA,22,484
129531,25,625,1,1,6,2,1,NA,NA,NA,NA,25,625
129534,21,441,0,1,6,2,1,NA,NA,NA,NA,21,441
129536,50,2500,0,1,NA,2,1,NA,NA,NA,NA,50,2500
2010011,16,256,1,0,12,3,1,NA,NA,NA,NA,16,256
201002,67,4489,0,0,NA,3,1,NA,NA,NA,NA,67,4489
201003,46,2116,0,1,6,3,1,NA,NA,NA,NA,46,2116
201004,56,3136,1,1,9,3,1,NA,NA,NA,NA,56,3136
201005,26,676,1,0,0,3,1,NA,NA,NA,NA,26,676
201511,24,576,1,1,9,3,1,NA,NA,NA,NA,24,576
201512,24,576,0,1,6,3,1,NA,NA,NA,NA,24,576
201521,19,361,0,0,9,2,1,NA,NA,NA,NA,19,361
202001,42,1764,1,1,6,3,1,NA,NA,NA,NA,42,1764
2020011,22,484,0,1,9,3,1,NA,NA,NA,NA,22,484
204001,46,2116,1,1,6,3,1,NA,NA,NA,NA,46,2116
2040012,68,4624,0,0,NA,3,1,NA,NA,NA,NA,68,4624
204002,45,2025,0,1,NA,3,1,NA,NA,NA,NA,45,2025
204004,25,625,0,0,16,3,1,NA,NA,NA,NA,25,625
204007,16,256,1,0,12,3,1,NA,NA,NA,NA,16,256
204412,35,1225,1,1,NA,3,1,NA,NA,NA,NA,35,1225
204413,28,784,0,1,6,3,1,NA,NA,NA,NA,28,784
204511,20,400,0,0,9,2,1,NA,NA,NA,NA,20,400
2050010,26,676,0,1,6,4,1,NA,NA,NA,NA,26,676
205003,28,784,1,1,6,4,1,NA,NA,NA,NA,28,784
206002,40,1600,1,1,NA,4,1,NA,NA,NA,NA,40,1600
206006,33,1089,0,1,6,4,1,NA,NA,NA,NA,33,1089
206007,15,225,1,0,9,4,1,NA,NA,NA,NA,15,225
206511,52,2704,1,1,12,4,1,NA,NA,NA,NA,52,2704
206512,34,1156,0,1,NA,4,1,NA,NA,NA,NA,34,1156
211429,18,324,1,0,16,4,1,NA,NA,NA,NA,18,324
211431,41,1681,1,1,NA,3,1,NA,NA,NA,NA,41,1681
211432,39,1521,0,1,6,3,1,NA,NA,NA,NA,39,1521
211434,15,225,1,0,12,3,1,NA,NA,NA,NA,15,225
213001,57,3249,1,1,NA,2,1,NA,NA,NA,NA,57,3249
213002,54,2916,0,1,NA,2,1,NA,NA,NA,NA,54,2916
215001,64,4096,1,1,6,3,1,NA,NA,NA,NA,64,4096
215002,52,2704,0,1,6,3,1,NA,NA,NA,NA,52,2704
2180010,19,361,0,0,12,3,1,NA,NA,NA,NA,19,361
218002,48,2304,1,1,6,3,1,NA,NA,NA,NA,48,2304
218005,45,2025,0,1,9,3,1,NA,NA,NA,NA,45,2025
218006,26,676,1,1,9,3,1,NA,NA,NA,NA,26,676
218311,49,2401,1,1,6,2,1,NA,NA,NA,NA,49,2401
218411,27,729,1,1,6,3,1,NA,NA,NA,NA,27,729
218412,24,576,0,1,6,3,1,NA,NA,NA,NA,24,576
219001,81,6561,0,0,NA,4,1,NA,NA,NA,NA,81,6561
2190012,30,900,1,1,NA,4,1,NA,NA,NA,NA,30,900
2190013,30,900,0,1,6,4,1,NA,NA,NA,NA,30,900
219002,56,3136,1,1,6,4,1,NA,NA,NA,NA,56,3136
219003,46,2116,0,1,NA,4,1,NA,NA,NA,NA,46,2116
219004,21,441,0,0,NA,4,1,NA,NA,NA,NA,21,441
219006,15,225,0,0,6,4,1,NA,NA,NA,NA,15,225
219514,19,361,0,0,12,2,1,NA,NA,NA,NA,19,361
220001,54,2916,1,1,16,2,1,NA,NA,NA,NA,54,2916
220002,47,2209,0,1,9,2,1,NA,NA,NA,NA,47,2209
220003,25,625,1,0,16,2,1,NA,NA,NA,NA,25,625
220004,23,529,1,0,16,2,1,NA,NA,NA,NA,23,529
221001,71,5041,1,1,NA,3,1,NA,NA,NA,NA,71,5041
221008,52,2704,0,1,6,3,1,NA,NA,NA,NA,52,2704
222001,41,1681,1,1,NA,2,1,NA,NA,NA,NA,41,1681
222002,39,1521,0,1,NA,2,1,NA,NA,NA,NA,39,1521
222004,17,289,1,0,12,2,1,NA,NA,NA,NA,17,289
2250010,25,625,0,1,0,3,1,NA,NA,NA,NA,25,625
225002,48,2304,0,0,NA,3,1,NA,NA,NA,NA,48,2304
225004,28,784,1,1,12,3,1,NA,NA,NA,NA,28,784
225005,26,676,1,0,0,3,1,NA,NA,NA,NA,26,676
225009,67,4489,0,0,NA,3,1,NA,NA,NA,NA,67,4489
225411,25,625,0,0,0,3,1,NA,NA,NA,NA,25,625
226001,71,5041,1,1,NA,4,1,NA,NA,NA,NA,71,5041
2260011,18,324,0,1,6,4,1,NA,NA,NA,NA,18,324
226002,61,3721,0,1,NA,4,1,NA,NA,NA,NA,61,3721
226005,31,961,0,0,6,4,1,NA,NA,NA,NA,31,961
226008,22,484,1,1,9,4,1,NA,NA,NA,NA,22,484
227501,20,400,0,0,16,2,1,NA,NA,NA,NA,20,400
229001,47,2209,1,1,6,2,1,NA,NA,NA,NA,47,2209
